CO_ANO,CO_MES,CO_NCM,CO_UNID,CO_PAIS,SG_UF_NCM,CO_VIA,CO_URF,QT_ESTAT,KG_LIQUIDO,VL_FOB,VL_FRETE,VL_SEGURO
2012,3,85322410,11,455,MG,4,615100,78000,2,353,58,0
2012,3,85322410,11,741,DF,4,817700,4000,0,14,0,0
2012,4,85322410,11,449,RS,4,1017600,900,0,31,1,0
2012,12,85322410,11,375,SP,4,817700,6000,0,11,22,0
2012,7,85322410,11,741,SP,1,817800,154000,3,10560,3,10
2012,4,85322410,11,160,SC,4,927800,70000,6,2170,60,0
2012,9,85322410,11,493,MG,4,615100,39600,7,1768,92,2
2012,9,85322410,11,493,SP,4,817600,8080340,174,14944,4966,2
2012,4,85322410,11,741,SP,1,817800,119000,2,8160,2,8
2012,2,85322410,11,399,MG,4,615100,4444000,173,53687,3268,82
2012,5,85322410,11,493,AM,1,227600,230000,2,382,1,0
2012,8,85322410,11,493,SP,4,817600,13358500,225,24913,5669,5
2012,10,85322410,11,687,SC,4,817700,8000,0,179,4,0
2012,7,85322410,11,455,PR,4,817700,233000,3,4070,52,2
2012,12,85322410,11,190,MG,4,817700,1336000,21,758,157,1
2012,7,85322410,11,161,SC,4,925200,10000,0,23,2,0
2012,4,85322410,11,383,SP,4,817700,2239000,22,25846,491,16
2012,10,85322410,11,23,SP,4,817700,10000,3,31,322,0
2012,10,85322410,11,628,SP,4,817700,16655,5,364,55,0
2012,2,85322410,11,247,SP,4,817700,56000,1,512,11,6
2012,12,85322410,11,160,RS,4,817700,540000,43,1020,187,2
2012,9,85322410,11,161,AM,1,417800,89000,20,137,71,0
2012,11,85322410,11,741,MG,4,615100,4000,0,32,6,0
2012,3,85322410,11,247,SP,4,817700,52000,6,908,71,10
2012,1,85322410,11,399,SC,4,925200,58000,6,655,39,0
2012,10,85322410,11,161,SC,4,925200,8000,0,66,1,0
2012,6,85322410,11,365,RS,4,1017600,1000,0,210,4,0
2012,1,85322410,11,399,AM,4,817700,25470000,67,112620,1975,79
2012,5,85322410,11,190,MG,4,817700,4000,0,105,12,1
2012,1,85322410,11,399,SC,4,817700,194000,1,888,12,1
2012,1,85322410,11,455,AM,1,417800,335591,10,1130,5,1
2012,8,85322410,11,160,AM,4,817700,2590000,3,8153,128,6
2012,4,85322410,11,267,SC,4,925200,76000,12,99,105,0
2012,4,85322410,11,249,RS,4,817600,110000,0,336,156,1
2012,11,85322410,11,249,MG,4,615100,92000,1,1230,9,2
2012,2,85322410,11,399,AM,1,817800,20000,3,1100,7,0
2012,10,85322410,11,267,RS,4,817700,44000,3,268,13,0
2012,1,85322410,11,741,SP,1,817800,457000,4,28680,5,37
2012,8,85322410,11,776,MG,4,817700,252000,2,3760,15,0
2012,9,85322410,11,791,SP,4,817600,16000,0,546,78,0
2012,1,85322410,11,741,RS,4,1017600,438000,44,1235,765,2
2012,10,85322410,11,249,MG,4,615100,176000,16,7658,238,11
2012,8,85322410,11,455,MG,4,615100,1130000,15,5469,251,7
2012,12,85322410,11,160,PB,1,717600,2792080,59,5592,110,6
2012,6,85322410,11,161,SC,4,817700,72000,4,2009,43,4
2012,2,85322410,11,161,PR,4,915200,741000,89,5640,718,7
2012,4,85322410,11,249,SC,4,817700,6010,4,2300,25,4
2012,5,85322410,11,249,AM,1,717800,511600,1,334,0,0
2012,10,85322410,11,161,RS,4,817700,8000,0,60,2,0
2012,4,85322410,11,399,SP,5,817900,6000,2,774,62,0
2012,1,85322410,11,160,PR,4,817600,30000,2,301,19,0
2012,1,85322410,11,741,AM,4,817700,52000,2,234,36,0
2012,3,85322410,11,607,AM,4,227700,10000,1,34,446,0
2012,4,85322410,11,160,BA,1,817800,388000,1050,1743,268,0
2012,7,85322410,11,232,AM,4,227700,165000,17,3915,169,4
2012,2,85322410,11,351,AM,1,417800,589100,9,5941,37,0
2012,8,85322410,11,105,SP,1,817800,5000,2,1010,2,1
2012,2,85322410,11,190,MG,4,817700,2000,0,44,3,0
2012,10,85322410,11,187,SP,1,817800,572000,1,432,0,0
2012,11,85322410,11,741,SP,4,817600,20000,0,80,8,0
2012,11,85322410,11,399,SC,4,817600,40000,5,1920,19,2
2012,2,85322410,11,365,SP,1,915200,276172,29,1685,70,1
2012,1,85322410,11,455,SC,4,925200,4000,0,75,3,0
2012,10,85322410,11,788,AM,1,227600,5000,11,502,17,0
2012,5,85322410,11,455,SC,4,817600,104000,3,468,9,1
2012,5,85322410,11,23,SP,4,817600,4000,0,6,1,0
2012,2,85322410,11,267,SP,1,817800,576000,63,4553,41,0
2012,11,85322410,11,399,PR,4,817700,49220,4,1574,177,2
2012,6,85322410,11,493,PE,4,417700,112000,7,308,293,4
2012,2,85322410,11,399,DF,4,817700,2600,0,76,2,0
2012,10,85322410,11,628,AM,4,227700,3953000,101,14177,918,23
2012,11,85322410,11,607,SP,4,817600,6000,0,247,29,0
2012,8,85322410,11,741,AM,1,717800,61000,6,228,4,0
2012,5,85322410,11,399,SC,4,817700,117000,2,1081,16,2
2012,3,85322410,11,365,AM,1,717800,35000,25,2451,12,2
2012,8,85322410,11,375,AM,4,227700,4000,0,163,1,0
2012,2,85322410,11,161,BA,1,517600,310000,12,2485,21,2
2012,1,85322410,11,190,BA,4,517700,204000,8,408,82,0
2012,3,85322410,11,399,RS,4,1017600,873085,70,33364,1234,90
2012,2,85322410,11,249,CE,4,817700,12000,0,173,21,0
2012,3,85322410,11,249,SC,4,925200,144000,4,953,49,0
2012,10,85322410,11,628,PR,4,915200,21000,1,722,450,1
2012,7,85322410,11,160,SP,4,817700,251860834,5768,1030866,72725,377
2012,9,85322410,11,628,SP,4,817700,180297,18,9353,295,8
